fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern
C2,,,,,51.621244,-115.608378,2138.0,,,,,16.0,342.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2144.0,,,,,24.0,324.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2163.0,,,,,32.0,308.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2198.0,,,,,41.0,298.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2166.0,,,,,40.0,345.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2188.0,,,,,52.0,335.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2207.0,,,,,60.0,334.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2231.0,,,,,67.0,327.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2211.0,,,,,61.0,346.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2241.0,,,,,69.0,335.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2277.0,,,,,72.0,335.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2312.0,,,,,68.0,332.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2284.0,,,,,60.0,347.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2314.0,,,,,55.0,334.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2341.0,,,,,40.0,328.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,2364.0,,,,,24.0,315.0,,,0.8,,20,
