0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.000 0.000 0.000 0.073 0.000 0.000 0.000 0.000 0.001 0.001 0.001 0.002 0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.005 0.039 0.000 0.000 0.273 0.208 0.002 0.001 0.002 0.003 0.003 0.004 0.003 0.000 0.000 0.000 0.000 0.000
0.058 0.097 0.155 0.197 0.226 0.285 0.291 0.195 0.002 0.002 0.003 0.004 0.004 0.005 0.004 0.003 0.003 0.000 0.000 0.000
0.189 0.211 0.248 0.245 0.253 0.339 0.341 0.121 0.003 0.003 0.004 0.005 0.007 0.006 0.006 0.008 0.006 0.007 0.008 0.006
0.237 0.283 0.310 0.291 0.314 0.404 0.379 0.152 0.003 0.004 0.005 0.007 0.008 0.007 0.008 0.010 0.011 0.012 0.010 0.010
0.336 0.352 0.381 0.386 0.411 0.488 0.453 0.229 0.004 0.005 0.007 0.011 0.011 0.010 0.013 0.014 0.015 0.016 0.013 0.012
0.428 0.418 0.452 0.478 0.506 0.575 0.558 0.350 0.006 0.006 0.008 0.016 0.017 0.019 0.018 0.021 0.020 0.024 0.017 0.022
0.447 0.469 0.513 0.533 0.522 0.691 0.678 0.525 0.026 0.009 0.011 0.022 0.025 0.028 0.027 0.028 0.029 0.033 0.032 0.038
0.481 0.519 0.560 0.576 0.623 0.706 0.809 0.748 0.190 0.012 0.013 0.028 0.032 0.039 0.037 0.040 0.043 0.050 0.051 0.058
0.559 0.603 0.593 0.662 0.691 0.732 0.883 0.884 0.644 0.016 0.017 0.037 0.043 0.053 0.053 0.059 0.067 0.073 0.075 0.046
0.837 0.817 0.768 0.765 0.804 0.803 0.922 0.940 0.876 0.028 0.023 0.049 0.064 0.070 0.072 0.086 0.092 0.100 0.051 0.000
0.937 0.930 0.927 0.905 0.893 0.905 0.911 0.978 0.969 0.321 0.043 0.080 0.083 0.094 0.103 0.116 0.131 0.000 0.000 0.000
0.981 0.976 0.960 0.925 0.934 0.962 0.972 0.994 0.996 0.689 0.076 0.103 0.115 0.133 0.147 0.166 0.177 0.159 0.136 0.118
0.992 0.989 0.987 0.972 1.000 1.000 1.000 1.000 0.969 0.845 0.174 0.144 0.173 0.193 0.212 0.203 0.179 0.160 0.137 0.124
0.994 0.995 0.996 1.000 1.000 1.000 1.000 0.999 0.959 0.864 0.412 0.260 0.303 0.312 0.289 0.216 0.184 0.165 0.145 0.128
0.997 0.999 1.000 0.000 1.000 1.000 1.000 0.998 0.951 0.844 0.580 0.407 0.417 0.391 0.333 0.238 0.202 0.178 0.156 0.135
0.999 1.000 1.000 1.000 1.000 1.000 0.999 0.993 0.931 0.832 0.664 0.493 0.426 0.380 0.323 0.253 0.202 0.179 0.155 0.141
1.000 1.000 1.000 1.000 1.000 1.000 0.994 0.988 0.907 0.779 0.669 0.450 0.369 0.324 0.303 0.257 0.206 0.172 0.149 0.138
1.000 1.000 1.000 1.000 0.975 0.907 0.890 0.870 0.810 0.685 0.591 0.444 0.394 0.356 0.301 0.249 0.210 0.172 0.154 0.143
