ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,957,643,0,0.598,0.402,0.000
2,1046,554,0,0.654,0.346,0.000
3,1369,231,0,0.856,0.144,0.000
4,1580,20,0,0.988,0.013,0.000
5,1322,278,0,0.826,0.174,0.000
6,1038,562,0,0.649,0.351,0.000
7,1216,384,0,0.760,0.240,0.000
8,1599,1,0,0.999,0.001,0.000
9,1315,285,0,0.822,0.178,0.000
10,1442,158,0,0.901,0.099,0.000
11,1528,72,0,0.955,0.045,0.000
12,1599,1,0,0.999,0.001,0.000
13,1508,92,0,0.943,0.058,0.000
14,1258,342,0,0.786,0.214,0.000
15,998,602,0,0.624,0.376,0.000
16,1505,95,0,0.941,0.059,0.000
17,997,603,0,0.623,0.377,0.000
18,1452,148,0,0.907,0.092,0.000
19,1195,405,0,0.747,0.253,0.000
20,1315,285,0,0.822,0.178,0.000
21,1598,2,0,0.999,0.001,0.000
22,1380,220,0,0.863,0.138,0.000
23,1576,24,0,0.985,0.015,0.000
24,1169,431,0,0.731,0.269,0.000
25,1120,480,0,0.700,0.300,0.000
26,992,608,0,0.620,0.380,0.000
27,1463,137,0,0.914,0.086,0.000
28,1436,164,0,0.897,0.102,0.000
29,1264,336,0,0.790,0.210,0.000
30,992,608,0,0.620,0.380,0.000
31,1466,134,0,0.916,0.084,0.000
32,1567,33,0,0.979,0.021,0.000
33,1315,285,0,0.822,0.178,0.000
34,1203,397,0,0.752,0.248,0.000
35,1338,262,0,0.836,0.164,0.000
36,1028,572,0,0.642,0.357,0.000
37,1521,79,0,0.951,0.049,0.000
38,1599,1,0,0.999,0.001,0.000
39,1589,11,0,0.993,0.007,0.000
40,960,640,0,0.600,0.400,0.000
41,1149,451,0,0.718,0.282,0.000
42,1599,1,0,0.999,0.001,0.000
43,906,694,0,0.566,0.434,0.000
44,1263,337,0,0.789,0.211,0.000
45,1523,77,0,0.952,0.048,0.000
46,1440,160,0,0.900,0.100,0.000
47,1009,591,0,0.631,0.369,0.000
48,1352,248,0,0.845,0.155,0.000
49,1347,253,0,0.842,0.158,0.000
50,1415,185,0,0.884,0.116,0.000
51,1599,1,0,0.999,0.001,0.000
52,1268,332,0,0.792,0.207,0.000
53,1285,315,0,0.803,0.197,0.000
54,1429,171,0,0.893,0.107,0.000
55,967,633,0,0.604,0.396,0.000
56,1162,438,0,0.726,0.274,0.000
57,1036,564,0,0.647,0.352,0.000
58,1569,31,0,0.981,0.019,0.000
59,1426,174,0,0.891,0.109,0.000
60,1571,29,0,0.982,0.018,0.000
61,1243,357,0,0.777,0.223,0.000
62,1362,238,0,0.851,0.149,0.000
63,1515,85,0,0.947,0.053,0.000
64,717,883,0,0.448,0.552,0.000
65,1498,102,0,0.936,0.064,0.000
66,1546,54,0,0.966,0.034,0.000
67,1168,432,0,0.730,0.270,0.000
68,1240,360,0,0.775,0.225,0.000
69,864,736,0,0.540,0.460,0.000
70,1280,320,0,0.800,0.200,0.000
71,1339,261,0,0.837,0.163,0.000
72,187,1413,0,0.117,0.883,0.000
73,1560,40,0,0.975,0.025,0.000
74,1570,30,0,0.981,0.019,0.000
75,1458,142,0,0.911,0.089,0.000
76,1126,474,0,0.704,0.296,0.000
77,1443,157,0,0.902,0.098,0.000
78,634,966,0,0.396,0.604,0.000
79,1395,205,0,0.872,0.128,0.000
80,1419,181,0,0.887,0.113,0.000
81,1197,403,0,0.748,0.252,0.000
82,1351,249,0,0.844,0.156,0.000
83,1515,85,0,0.947,0.053,0.000
84,1127,473,0,0.704,0.296,0.000
85,1146,454,0,0.716,0.284,0.000
86,1312,288,0,0.820,0.180,0.000
87,1389,211,0,0.868,0.132,0.000
88,1600,0,0,1.000,0.000,0.000
89,1289,311,0,0.806,0.194,0.000
90,925,675,0,0.578,0.422,0.000
91,1587,13,0,0.992,0.008,0.000
92,228,1372,0,0.142,0.858,0.000
93,1442,158,0,0.901,0.099,0.000
94,1600,0,0,1.000,0.000,0.000
95,1599,1,0,0.999,0.001,0.000
96,1559,41,0,0.974,0.026,0.000
97,1287,313,0,0.804,0.196,0.000
98,1142,458,0,0.714,0.286,0.000
99,1024,576,0,0.640,0.360,0.000
100,1377,223,0,0.861,0.139,0.000
101,1425,175,0,0.891,0.109,0.000
102,1500,100,0,0.938,0.062,0.000
103,740,860,0,0.463,0.537,0.000
104,1090,510,0,0.681,0.319,0.000
105,1524,76,0,0.953,0.048,0.000
106,983,617,0,0.614,0.386,0.000
107,1305,295,0,0.816,0.184,0.000
108,1185,415,0,0.741,0.259,0.000
109,903,697,0,0.564,0.436,0.000
110,982,618,0,0.614,0.386,0.000
111,1469,131,0,0.918,0.082,0.000
112,1276,324,0,0.797,0.203,0.000
113,1100,500,0,0.688,0.312,0.000
114,1451,149,0,0.907,0.093,0.000
115,1516,84,0,0.948,0.052,0.000
116,1177,423,0,0.736,0.264,0.000
117,1335,265,0,0.834,0.166,0.000
118,1270,330,0,0.794,0.206,0.000
119,1216,384,0,0.760,0.240,0.000
120,1117,483,0,0.698,0.302,0.000
121,1599,1,0,0.999,0.001,0.000
122,1305,295,0,0.816,0.184,0.000
123,1271,329,0,0.794,0.206,0.000
124,1320,280,0,0.825,0.175,0.000
125,883,717,0,0.552,0.448,0.000
126,1466,134,0,0.916,0.084,0.000
127,373,1227,0,0.233,0.767,0.000
128,1481,119,0,0.926,0.074,0.000
129,210,1390,0,0.131,0.869,0.000
130,1599,1,0,0.999,0.001,0.000
131,1269,331,0,0.793,0.207,0.000
132,1400,200,0,0.875,0.125,0.000
133,1505,95,0,0.941,0.059,0.000
134,629,971,0,0.393,0.607,0.000
135,1369,231,0,0.856,0.144,0.000
136,1281,319,0,0.801,0.199,0.000
137,1129,471,0,0.706,0.294,0.000
138,1206,394,0,0.754,0.246,0.000
139,1427,173,0,0.892,0.108,0.000
140,1600,0,0,1.000,0.000,0.000
141,1436,164,0,0.897,0.102,0.000
142,1401,199,0,0.876,0.124,0.000
143,1350,250,0,0.844,0.156,0.000
144,1243,357,0,0.777,0.223,0.000
145,1143,457,0,0.714,0.286,0.000
146,1061,539,0,0.663,0.337,0.000
147,1305,295,0,0.816,0.184,0.000
148,1146,454,0,0.716,0.284,0.000
149,1501,99,0,0.938,0.062,0.000
150,1235,365,0,0.772,0.228,0.000
151,1413,187,0,0.883,0.117,0.000
152,1508,92,0,0.943,0.058,0.000
153,1428,172,0,0.892,0.107,0.000
154,1187,413,0,0.742,0.258,0.000
155,1482,118,0,0.926,0.074,0.000
156,880,720,0,0.550,0.450,0.000
157,1420,180,0,0.887,0.113,0.000
158,1599,1,0,0.999,0.001,0.000
159,1490,110,0,0.931,0.069,0.000
160,1543,57,0,0.964,0.036,0.000
161,1456,144,0,0.910,0.090,0.000
162,1094,506,0,0.684,0.316,0.000
163,1547,53,0,0.967,0.033,0.000
164,1060,540,0,0.662,0.338,0.000
165,1271,329,0,0.794,0.206,0.000
166,1600,0,0,1.000,0.000,0.000
167,1167,433,0,0.729,0.271,0.000
168,1208,392,0,0.755,0.245,0.000
169,936,664,0,0.585,0.415,0.000
170,1468,132,0,0.917,0.083,0.000
171,1260,340,0,0.787,0.212,0.000
172,1301,299,0,0.813,0.187,0.000
173,1599,1,0,0.999,0.001,0.000
174,1155,445,0,0.722,0.278,0.000
175,905,695,0,0.566,0.434,0.000
