ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,314,65,21,0.785,0.163,0.052
2,157,222,21,0.393,0.555,0.052
3,257,122,21,0.642,0.305,0.052
4,296,83,21,0.740,0.207,0.052
5,292,87,21,0.730,0.217,0.052
6,314,65,21,0.785,0.163,0.052
7,201,178,21,0.502,0.445,0.052
8,307,72,21,0.767,0.180,0.052
9,294,85,21,0.735,0.212,0.052
10,282,97,21,0.705,0.242,0.052
11,306,73,21,0.765,0.182,0.052
12,297,82,21,0.743,0.205,0.052
13,309,70,21,0.772,0.175,0.052
14,312,67,21,0.780,0.168,0.052
15,307,72,21,0.767,0.180,0.052
16,305,74,21,0.762,0.185,0.052
17,139,240,21,0.347,0.600,0.052
18,316,63,21,0.790,0.158,0.052
19,288,91,21,0.720,0.228,0.052
20,284,95,21,0.710,0.237,0.052
21,305,74,21,0.762,0.185,0.052
22,292,87,21,0.730,0.217,0.052
23,307,72,21,0.767,0.180,0.052
24,312,67,21,0.780,0.168,0.052
25,156,223,21,0.390,0.557,0.052
26,248,131,21,0.620,0.328,0.052
27,213,166,21,0.532,0.415,0.052
28,300,79,21,0.750,0.198,0.052
29,262,117,21,0.655,0.292,0.052
30,290,89,21,0.725,0.223,0.052
31,316,63,21,0.790,0.158,0.052
32,292,87,21,0.730,0.217,0.052
33,306,73,21,0.765,0.182,0.052
34,293,86,21,0.733,0.215,0.052
35,306,73,21,0.765,0.182,0.052
36,313,66,21,0.782,0.165,0.052
37,273,106,21,0.682,0.265,0.052
38,246,133,21,0.615,0.333,0.052
39,314,65,21,0.785,0.163,0.052
40,307,72,21,0.767,0.180,0.052
41,312,67,21,0.780,0.168,0.052
42,307,72,21,0.767,0.180,0.052
43,309,70,21,0.772,0.175,0.052
44,292,87,21,0.730,0.217,0.052
45,312,67,21,0.780,0.168,0.052
46,194,185,21,0.485,0.463,0.052
47,306,73,21,0.765,0.182,0.052
48,248,131,21,0.620,0.328,0.052
49,314,65,21,0.785,0.163,0.052
50,314,65,21,0.785,0.163,0.052
51,159,220,21,0.398,0.550,0.052
52,298,81,21,0.745,0.203,0.052
53,300,79,21,0.750,0.198,0.052
54,233,146,21,0.583,0.365,0.052
55,290,89,21,0.725,0.223,0.052
56,305,74,21,0.762,0.185,0.052
57,297,82,21,0.743,0.205,0.052
58,273,106,21,0.682,0.265,0.052
59,305,74,21,0.762,0.185,0.052
60,315,64,21,0.787,0.160,0.052
61,292,87,21,0.730,0.217,0.052
62,277,102,21,0.693,0.255,0.052
63,118,261,21,0.295,0.652,0.052
64,300,79,21,0.750,0.198,0.052
65,292,87,21,0.730,0.217,0.052
66,292,87,21,0.730,0.217,0.052
67,297,82,21,0.743,0.205,0.052
68,143,236,21,0.357,0.590,0.052
69,278,101,21,0.695,0.253,0.052
70,306,73,21,0.765,0.182,0.052
71,314,65,21,0.785,0.163,0.052
72,258,121,21,0.645,0.302,0.052
73,300,79,21,0.750,0.198,0.052
74,289,90,21,0.723,0.225,0.052
75,294,85,21,0.735,0.212,0.052
76,204,175,21,0.510,0.438,0.052
77,277,102,21,0.693,0.255,0.052
78,314,65,21,0.785,0.163,0.052
79,294,85,21,0.735,0.212,0.052
80,299,80,21,0.748,0.200,0.052
81,314,65,21,0.785,0.163,0.052
82,239,140,21,0.598,0.350,0.052
83,296,83,21,0.740,0.207,0.052
84,277,102,21,0.693,0.255,0.052
85,308,71,21,0.770,0.177,0.052
86,68,311,21,0.170,0.777,0.052
87,146,233,21,0.365,0.583,0.052
88,307,72,21,0.767,0.180,0.052
89,258,121,21,0.645,0.302,0.052
90,300,79,21,0.750,0.198,0.052
91,294,85,21,0.735,0.212,0.052
92,296,83,21,0.740,0.207,0.052
93,306,73,21,0.765,0.182,0.052
94,298,81,21,0.745,0.203,0.052
95,308,71,21,0.770,0.177,0.052
96,296,83,21,0.740,0.207,0.052
97,314,65,21,0.785,0.163,0.052
98,309,70,21,0.772,0.175,0.052
99,303,76,21,0.757,0.190,0.052
100,314,65,21,0.785,0.163,0.052
101,296,83,21,0.740,0.207,0.052
102,190,189,21,0.475,0.472,0.052
103,282,97,21,0.705,0.242,0.052
104,296,83,21,0.740,0.207,0.052
105,189,190,21,0.472,0.475,0.052
106,312,67,21,0.780,0.168,0.052
107,279,100,21,0.698,0.250,0.052
108,307,72,21,0.767,0.180,0.052
109,314,65,21,0.785,0.163,0.052
110,292,87,21,0.730,0.217,0.052
111,307,72,21,0.767,0.180,0.052
112,314,65,21,0.785,0.163,0.052
113,314,65,21,0.785,0.163,0.052
114,294,85,21,0.735,0.212,0.052
115,290,89,21,0.725,0.223,0.052
116,314,65,21,0.785,0.163,0.052
117,299,80,21,0.748,0.200,0.052
118,301,78,21,0.752,0.195,0.052
119,297,82,21,0.743,0.205,0.052
120,292,87,21,0.730,0.217,0.052
121,267,112,21,0.667,0.280,0.052
122,315,64,21,0.787,0.160,0.052
123,301,78,21,0.752,0.195,0.052
124,287,92,21,0.718,0.230,0.052
125,309,70,21,0.772,0.175,0.052
126,282,97,21,0.705,0.242,0.052
127,305,74,21,0.762,0.185,0.052
128,301,78,21,0.752,0.195,0.052
129,311,68,21,0.777,0.170,0.052
130,292,87,21,0.730,0.217,0.052
131,149,230,21,0.372,0.575,0.052
132,297,82,21,0.743,0.205,0.052
133,314,65,21,0.785,0.163,0.052
134,248,131,21,0.620,0.328,0.052
135,306,73,21,0.765,0.182,0.052
136,307,72,21,0.767,0.180,0.052
137,289,90,21,0.723,0.225,0.052
138,219,160,21,0.547,0.400,0.052
139,150,229,21,0.375,0.573,0.052
140,218,161,21,0.545,0.403,0.052
141,290,89,21,0.725,0.223,0.052
142,234,145,21,0.585,0.362,0.052
143,283,96,21,0.708,0.240,0.052
144,305,74,21,0.762,0.185,0.052
145,278,101,21,0.695,0.253,0.052
146,291,88,21,0.728,0.220,0.052
147,297,82,21,0.743,0.205,0.052
148,247,132,21,0.618,0.330,0.052
149,299,80,21,0.748,0.200,0.052
150,290,89,21,0.725,0.223,0.052
151,305,74,21,0.762,0.185,0.052
152,287,92,21,0.718,0.230,0.052
153,294,85,21,0.735,0.212,0.052
154,307,72,21,0.767,0.180,0.052
155,314,65,21,0.785,0.163,0.052
156,305,74,21,0.762,0.185,0.052
157,301,78,21,0.752,0.195,0.052
158,299,80,21,0.748,0.200,0.052
159,309,70,21,0.772,0.175,0.052
160,230,149,21,0.575,0.372,0.052
161,291,88,21,0.728,0.220,0.052
162,255,124,21,0.637,0.310,0.052
163,305,74,21,0.762,0.185,0.052
164,306,73,21,0.765,0.182,0.052
165,292,87,21,0.730,0.217,0.052
166,314,65,21,0.785,0.163,0.052
167,204,175,21,0.510,0.438,0.052
168,301,78,21,0.752,0.195,0.052
169,267,112,21,0.667,0.280,0.052
170,201,178,21,0.502,0.445,0.052
171,92,287,21,0.230,0.718,0.052
172,296,83,21,0.740,0.207,0.052
173,293,86,21,0.733,0.215,0.052
174,303,76,21,0.757,0.190,0.052
175,283,96,21,0.708,0.240,0.052
176,312,67,21,0.780,0.168,0.052
177,280,99,21,0.700,0.247,0.052
178,301,78,21,0.752,0.195,0.052
179,309,70,21,0.772,0.175,0.052
180,314,65,21,0.785,0.163,0.052
181,234,145,21,0.585,0.362,0.052
182,281,98,21,0.703,0.245,0.052
183,273,106,21,0.682,0.265,0.052
184,284,95,21,0.710,0.237,0.052
185,108,271,21,0.270,0.677,0.052
186,294,85,21,0.735,0.212,0.052
187,293,86,21,0.733,0.215,0.052
188,306,73,21,0.765,0.182,0.052
189,294,85,21,0.735,0.212,0.052
190,309,70,21,0.772,0.175,0.052
191,294,85,21,0.735,0.212,0.052
192,289,90,21,0.723,0.225,0.052
193,300,79,21,0.750,0.198,0.052
194,290,89,21,0.725,0.223,0.052
195,270,109,21,0.675,0.273,0.052
196,123,256,21,0.307,0.640,0.052
197,228,151,21,0.570,0.378,0.052
198,292,87,21,0.730,0.217,0.052
199,303,76,21,0.757,0.190,0.052
200,293,86,21,0.733,0.215,0.052
201,314,65,21,0.785,0.163,0.052
202,291,88,21,0.728,0.220,0.052
203,301,78,21,0.752,0.195,0.052
204,292,87,21,0.730,0.217,0.052
205,167,212,21,0.417,0.530,0.052
206,301,78,21,0.752,0.195,0.052
207,279,100,21,0.698,0.250,0.052
208,292,87,21,0.730,0.217,0.052
209,291,88,21,0.728,0.220,0.052
210,314,65,21,0.785,0.163,0.052
211,277,102,21,0.693,0.255,0.052
212,283,96,21,0.708,0.240,0.052
213,283,96,21,0.708,0.240,0.052
214,292,87,21,0.730,0.217,0.052
215,308,71,21,0.770,0.177,0.052
216,305,74,21,0.762,0.185,0.052
217,314,65,21,0.785,0.163,0.052
218,305,74,21,0.762,0.185,0.052
219,315,64,21,0.787,0.160,0.052
220,309,70,21,0.772,0.175,0.052
221,294,85,21,0.735,0.212,0.052
222,297,82,21,0.743,0.205,0.052
223,305,74,21,0.762,0.185,0.052
224,314,65,21,0.785,0.163,0.052
225,306,73,21,0.765,0.182,0.052
226,234,145,21,0.585,0.362,0.052
227,128,251,21,0.320,0.627,0.052
228,303,76,21,0.757,0.190,0.052
229,258,121,21,0.645,0.302,0.052
230,301,78,21,0.752,0.195,0.052
231,292,87,21,0.730,0.217,0.052
232,296,83,21,0.740,0.207,0.052
233,296,83,21,0.740,0.207,0.052
234,222,157,21,0.555,0.393,0.052
235,254,125,21,0.635,0.312,0.052
236,294,85,21,0.735,0.212,0.052
237,296,83,21,0.740,0.207,0.052
238,306,73,21,0.765,0.182,0.052
239,265,114,21,0.662,0.285,0.052
240,312,67,21,0.780,0.168,0.052
241,247,132,21,0.618,0.330,0.052
242,307,72,21,0.767,0.180,0.052
243,143,236,21,0.357,0.590,0.052
244,309,70,21,0.772,0.175,0.052
245,309,70,21,0.772,0.175,0.052
246,248,131,21,0.620,0.328,0.052
247,305,74,21,0.762,0.185,0.052
248,291,88,21,0.728,0.220,0.052
