0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.000 0.000 0.000 0.006 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
0.000 0.000 0.000 0.026 0.064 0.094 0.116 0.078 0.066 0.072 0.056 0.048 0.020 0.014 0.010 0.000 0.000 0.000 0.000 0.000
0.000 0.006 0.036 0.090 0.158 0.190 0.204 0.148 0.118 0.114 0.118 0.104 0.084 0.048 0.032 0.010 0.000 0.000 0.000 0.000
0.042 0.064 0.132 0.208 0.258 0.296 0.322 0.274 0.206 0.182 0.184 0.186 0.132 0.090 0.068 0.032 0.010 0.000 0.000 0.000
0.074 0.164 0.248 0.330 0.386 0.422 0.456 0.424 0.304 0.296 0.274 0.252 0.220 0.168 0.110 0.064 0.022 0.000 0.000 0.000
0.074 0.182 0.282 0.372 0.486 0.612 0.648 0.588 0.406 0.374 0.332 0.318 0.288 0.244 0.164 0.090 0.046 0.004 0.000 0.000
0.000 0.014 0.236 0.374 0.544 0.714 0.740 0.742 0.486 0.420 0.390 0.358 0.340 0.284 0.220 0.128 0.058 0.022 0.000 0.000
0.000 0.000 0.000 0.138 0.514 0.750 0.846 0.914 0.808 0.480 0.448 0.422 0.384 0.324 0.252 0.168 0.084 0.040 0.000 0.000
0.000 0.000 0.000 0.014 0.148 0.754 0.942 0.966 0.966 0.518 0.494 0.446 0.418 0.356 0.288 0.180 0.112 0.046 0.002 0.000
0.000 0.000 0.012 0.034 0.036 0.562 0.964 0.996 1.000 0.644 0.522 0.490 0.444 0.394 0.322 0.208 0.118 0.050 0.008 0.000
0.000 0.012 0.028 0.030 0.034 0.072 0.964 1.000 1.000 0.982 0.508 0.494 0.450 0.418 0.334 0.226 0.130 0.048 0.008 0.000
0.020 0.028 0.028 0.030 0.034 0.060 0.590 1.000 1.000 1.000 0.506 0.486 0.442 0.408 0.320 0.232 0.136 0.062 0.002 0.000
0.028 0.028 0.028 0.030 0.032 0.056 0.332 1.000 1.000 1.000 0.484 0.478 0.442 0.400 0.310 0.230 0.124 0.060 0.000 0.000
0.028 0.028 0.028 0.028 0.030 0.054 0.420 1.000 1.000 0.998 0.560 0.470 0.436 0.384 0.290 0.188 0.104 0.034 0.000 0.000
0.028 0.028 0.028 0.028 0.034 0.168 0.470 0.786 0.876 0.852 0.572 0.450 0.412 0.368 0.286 0.154 0.076 0.010 0.000 0.000
0.028 0.028 0.028 0.032 0.076 0.244 0.488 0.670 0.708 0.666 0.504 0.410 0.398 0.344 0.284 0.140 0.036 0.002 0.000 0.000
0.028 0.028 0.042 0.088 0.168 0.312 0.494 0.556 0.560 0.546 0.412 0.388 0.370 0.320 0.266 0.114 0.006 0.000 0.000 0.000
