ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,329,71,0,0.823,0.177,0.000
2,322,78,0,0.805,0.195,0.000
3,279,121,0,0.698,0.302,0.000
4,304,96,0,0.760,0.240,0.000
5,333,67,0,0.833,0.168,0.000
6,313,87,0,0.782,0.217,0.000
7,253,147,0,0.632,0.367,0.000
8,296,104,0,0.740,0.260,0.000
9,299,101,0,0.748,0.253,0.000
10,338,62,0,0.845,0.155,0.000
11,309,91,0,0.772,0.228,0.000
12,325,75,0,0.812,0.188,0.000
13,336,64,0,0.840,0.160,0.000
14,279,121,0,0.698,0.302,0.000
15,326,74,0,0.815,0.185,0.000
16,254,146,0,0.635,0.365,0.000
17,325,75,0,0.812,0.188,0.000
18,322,78,0,0.805,0.195,0.000
19,303,97,0,0.757,0.242,0.000
20,318,82,0,0.795,0.205,0.000
21,332,68,0,0.830,0.170,0.000
22,328,72,0,0.820,0.180,0.000
23,303,97,0,0.757,0.242,0.000
24,296,104,0,0.740,0.260,0.000
25,313,87,0,0.782,0.217,0.000
26,262,138,0,0.655,0.345,0.000
27,300,100,0,0.750,0.250,0.000
28,329,71,0,0.823,0.177,0.000
29,293,107,0,0.733,0.268,0.000
30,321,79,0,0.802,0.198,0.000
31,272,128,0,0.680,0.320,0.000
32,272,128,0,0.680,0.320,0.000
33,320,80,0,0.800,0.200,0.000
34,319,81,0,0.797,0.203,0.000
35,306,94,0,0.765,0.235,0.000
36,263,137,0,0.657,0.343,0.000
37,318,82,0,0.795,0.205,0.000
38,322,78,0,0.805,0.195,0.000
39,337,63,0,0.843,0.158,0.000
40,326,74,0,0.815,0.185,0.000
41,318,82,0,0.795,0.205,0.000
42,242,158,0,0.605,0.395,0.000
43,317,83,0,0.792,0.207,0.000
44,302,98,0,0.755,0.245,0.000
45,325,75,0,0.812,0.188,0.000
46,324,76,0,0.810,0.190,0.000
47,312,88,0,0.780,0.220,0.000
48,281,119,0,0.703,0.297,0.000
49,310,90,0,0.775,0.225,0.000
50,312,88,0,0.780,0.220,0.000
51,322,78,0,0.805,0.195,0.000
52,312,88,0,0.780,0.220,0.000
53,322,78,0,0.805,0.195,0.000
54,302,98,0,0.755,0.245,0.000
55,329,71,0,0.823,0.177,0.000
56,301,99,0,0.752,0.247,0.000
57,327,73,0,0.818,0.182,0.000
58,265,135,0,0.662,0.338,0.000
59,314,86,0,0.785,0.215,0.000
60,313,87,0,0.782,0.217,0.000
61,279,121,0,0.698,0.302,0.000
62,338,62,0,0.845,0.155,0.000
63,317,83,0,0.792,0.207,0.000
64,321,79,0,0.802,0.198,0.000
65,325,75,0,0.812,0.188,0.000
66,329,71,0,0.823,0.177,0.000
67,304,96,0,0.760,0.240,0.000
68,338,62,0,0.845,0.155,0.000
69,332,68,0,0.830,0.170,0.000
70,319,81,0,0.797,0.203,0.000
71,319,81,0,0.797,0.203,0.000
72,325,75,0,0.812,0.188,0.000
73,296,104,0,0.740,0.260,0.000
74,325,75,0,0.812,0.188,0.000
75,242,158,0,0.605,0.395,0.000
76,290,110,0,0.725,0.275,0.000
77,329,71,0,0.823,0.177,0.000
78,327,73,0,0.818,0.182,0.000
79,321,79,0,0.802,0.198,0.000
80,336,64,0,0.840,0.160,0.000
81,326,74,0,0.815,0.185,0.000
82,322,78,0,0.805,0.195,0.000
83,319,81,0,0.797,0.203,0.000
84,338,62,0,0.845,0.155,0.000
85,320,80,0,0.800,0.200,0.000
86,304,96,0,0.760,0.240,0.000
87,302,98,0,0.755,0.245,0.000
88,314,86,0,0.785,0.215,0.000
89,281,119,0,0.703,0.297,0.000
90,263,137,0,0.657,0.343,0.000
91,328,72,0,0.820,0.180,0.000
92,301,99,0,0.752,0.247,0.000
93,327,73,0,0.818,0.182,0.000
94,305,95,0,0.762,0.237,0.000
95,327,73,0,0.818,0.182,0.000
