ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,1570,1,29,0.981,0.001,0.018
1,2,1570,1,29,0.981,0.001,0.018
1,3,1570,1,29,0.981,0.001,0.018
1,4,1551,20,29,0.969,0.013,0.018
1,5,1488,83,29,0.930,0.052,0.018
1,6,1436,135,29,0.897,0.084,0.018
1,7,1401,170,29,0.876,0.106,0.018
1,8,1369,202,29,0.856,0.126,0.018
2,1,1570,1,29,0.981,0.001,0.018
2,2,1554,17,29,0.971,0.011,0.018
2,3,1518,53,29,0.949,0.033,0.018
2,4,1493,78,29,0.933,0.049,0.018
2,5,1454,117,29,0.909,0.073,0.018
2,6,1427,144,29,0.892,0.090,0.018
2,7,1406,165,29,0.879,0.103,0.018
2,8,1356,215,29,0.848,0.134,0.018
3,1,1570,1,29,0.981,0.001,0.018
3,2,1555,16,29,0.972,0.010,0.018
3,3,1522,49,29,0.951,0.031,0.018
3,4,1495,76,29,0.934,0.048,0.018
3,5,1469,102,29,0.918,0.064,0.018
3,6,1430,141,29,0.894,0.088,0.018
3,7,1335,236,29,0.834,0.147,0.018
3,8,1241,330,29,0.776,0.206,0.018
4,1,1570,1,29,0.981,0.001,0.018
4,2,1567,4,29,0.979,0.003,0.018
4,3,1545,26,29,0.966,0.016,0.018
4,4,1507,64,29,0.942,0.040,0.018
4,5,1450,121,29,0.906,0.076,0.018
4,6,1409,162,29,0.881,0.101,0.018
4,7,1382,189,29,0.864,0.118,0.018
4,8,1353,218,29,0.846,0.136,0.018
5,1,1570,1,29,0.981,0.001,0.018
5,2,1550,21,29,0.969,0.013,0.018
5,3,1499,72,29,0.937,0.045,0.018
5,4,1454,117,29,0.909,0.073,0.018
5,5,1404,167,29,0.877,0.104,0.018
5,6,1357,214,29,0.848,0.134,0.018
5,7,1312,259,29,0.820,0.162,0.018
5,8,1220,351,29,0.762,0.219,0.018
